,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
678,健康评估,医药卫生,北京大学,4,2019-02-15,2019-04-26,4.0,11,立即参加,10169,214,孙玉梅副教授李湘萍副教授陆悦讲师江华讲师李利讲师
679,分析化学（三）：波谱分析,理学,湖南大学,6,2019-02-26,2019-07-02,4.0,19,立即参加,2972,20,王玉枝教授宦双燕教授
680,信息检索,管理学,武汉大学,10,2019-03-11,2019-06-11,2.5,14,立即参加,8093,1370,黄如花教授、博士生导师
681,程序设计与算法（二）算法基础,计算机,北京大学,6,2019-02-18,2019-05-20,4.0,14,立即参加,8191,421,郭炜讲师
682,工程力学,工学,西南交通大学,7,2018-09-10,2018-12-31,4.0,17,已结束，查看内容,7393,23,沈火明教授
683,设计之美,艺术设计,哈尔滨工业大学,4,2019-03-18,2019-05-27,3.0,11,立即参加,2590,143,王妍教授  博士
684,数字电路与系统设计,工学,西安电子科技大学,4,2019-03-12,2019-06-29,4.0,16,立即参加,1733,4,孙万蓉教授
685,书法课堂,艺术设计,东北大学,4,2018-09-24,2018-12-31,1.0,15,已结束，查看内容,14716,136,朱利教授
686,材料力学,工学,大连理工大学,5,2019-02-25,2019-06-30,4.0,18,立即参加,6397,36,王博教授，博士生导师马红艳副教授季顺迎教授马国军副教授毕祥军副教授郝鹏副教授李锐副教授段庆林副教授
687,细胞生物学,理学,厦门大学,6,2019-02-17,2019-06-15,3.0,17,立即参加,4828,26,叶军副教授靳全文教授余娴文副教授韩家淮教授张荧荧助理教授莫萍丽副教授
688,电子技术应用实验1（数字电路基础实验）,工学,电子科技大学,5,2019-03-04,2019-06-16,1.5,15,立即参加,1939,122,陈瑜高级工程师陈英工程师李雷副教授曾洁讲师李春梅讲师李庆嵘讲师孙可伟工程师
689,通信原理,工学,国防科技大学,8,2019-02-25,2019-06-30,4.0,18,立即参加,7358,30,马东堂教授魏急波教授张晓瀛副教授赵海涛副教授熊俊讲师黄圣春讲师辜方林讲师周力讲师王杉副研究员唐麒讲师李为讲师李保国副教授
690,物理化学（一）,理学,大连理工大学,6,2019-02-25,2019-05-20,4.0,13,立即参加,2525,37,王新平教授，辽宁省教学名师石川教授纪敏教授王旭珍教授，宝钢优秀教师王新葵副教授宋雪旦讲师
691,大学生科技创新课程之“互联网+”创新创业大赛,工学,西南交通大学,3,2018-12-10,2019-01-25,3.0,7,已结束，查看内容,3704,55,张祖涛教授/博士生导师罗大兵副教授代宁副研究员姬晓旭讲师卫飞飞助理研究员李静波讲师
692,材料力学,工学,西南交通大学,8,2019-02-25,2019-05-31,4.0,14,立即参加,3236,169,龚晖教授
693,风景园林景观规划设计基本原理,工学,同济大学,6,2019-03-12,2019-06-18,1.5,15,立即参加,2879,42,刘滨谊教授
694,电子线路设计、测试与实验（一）,工学,华中科技大学,5,2019-02-11,2019-06-15,3.0,18,立即参加,3818,178,汪小燕教授潘晓明工程师夏银桥工程师邓天平副教授陈林高级工程师左冬红副教授王振工程师杨彩虹讲师闵玉堂讲师曾喻江高级工程师秦臻副教授罗杰副教授龚军高级吴建新高级工程师张林教授周波副教授张华讲师徐争光讲师刘澍讲师
695,化学实验安全知识,理学, 中国科学技术大学,3,2019-03-06,2019-06-13,2.5,15,立即参加,1672,484,冯红艳副高朱平平教授郑媛中级兰泉实验师高明丽中级黄微高级实验师刘红瑜中级
696,现代教育技术,教育教学,陕西师范大学,7,2019-03-04,2019-06-30,4.0,17,立即参加,5663,1103,傅钢善教授乜勇教授单迎杰讲师
697,中国饮食文化,文学文化,华中农业大学,6,2019-02-12,2019-06-11,2.5,18,立即参加,9733,882,谢定源副教授李二虎等课程团队教师李二虎副教授；方爱平聘任研究员；周圣弘教授；熊小进高级工程师
698,数学实验,理学,重庆大学,3,2019-02-18,2019-06-30,6.0,19,立即参加,4040,83,龚劬教授肖剑副教授温罗生教授何光辉副教授黄光辉副教授
699,生物统计学,理学,南京农林大学,5,2019-03-11,2019-06-17,3.5,15,立即参加,2114,16,管荣展教授，生物统计课程群负责人盖钧镒院士赵团结教授杨守萍教授赵晋铭副教授王吴彬讲师邢光南副教授李凯副教授冯建英副教授何小红副教授楚璞副教授贺建波讲师
700,外经贸英语函电,外语,福建农林大学,4,2019-02-26,2019-06-10,2.5,15,立即参加,5347,178,张云清副教授姚静副教授陈隽讲师黄丽莉讲师
701,计算机程序设计（C++）,计算机,西安交通大学,9,2019-02-12,2019-06-17,3.0,18,立即参加,20166,441,赵英良教授夏秦副教授杨振平讲师顾刚研究员仇国巍讲师卫颜俊讲师乔亚男副教授杨琦高级工程师姚普选副教授
702,机械制造技术基础,工学,中北大学,5,2019-03-04,2019-06-18,4.0,16,立即参加,3422,174,王时英教授丁艳红副教授刘润爱副教授李文辉副教授姚新改副教授王晓玲副教授宫晓琴讲师张杰副教授梁义维副教授
703,土地经济学,管理学,南京农林大学,4,2019-03-07,2019-07-07,4.0,18,立即参加,894,144,冯淑怡教授、博士生导师石晓平教授诸培新教授刘向向南副教授高平讲师唐焱教授邹伟教授，博士生导师郭贯成教授马贤磊教授姜海教授蓝菁副教授
704,微积分（四）,理学,哈尔滨工业大学,7,2019-02-25,2019-06-28,4.0,18,立即参加,1234,59,尹逊波教授雷强副教授任雪昆副教授黄艳讲师张雅卓副教授杨占文讲师董久刚副教授张超副教授靳水林副教授
705,无机非金属材料实验,工学,武汉理工大学,6,2019-02-18,2019-06-21,3.5,18,立即参加,579,2,冯小平副教授
706,系统解剖学,医药卫生,山东大学,6,2019-02-25,2019-06-03,4.0,15,立即参加,28956,285,丁兆习副教授李振中教授丁娟副教授刘真副教授吴凤霞讲师李贵宝高级实验师
707,中国文化概论,文学文化,武汉大学,10,2019-02-18,2019-07-01,3.5,20,立即参加,9611,147,李建中教授高文强教授/博士生导师李立讲师
708,现代控制理论基础,工学,西北工业大学,3,2019-02-25,2019-05-25,4.0,13,立即参加,3710,45,郭建国教授赵斌副教授郭宗易助理研究员
709,模拟电子技术基础,工学,河北师范大学,8,2019-02-18,2019-06-30,4.0,19,立即参加,7014,106,刘波粒教授刘彩霞副教授赵增荣教授陈嘉兴教授靳慧龙教授孙军英副教授杨丽坤讲师付超副教授吕清讲师张书景讲师
710,人文视野中的生态学,理学,吉林大学,10,2019-04-01,2019-06-24,4.0,13,立即参加,325,56,包国章教授
711,大数据技术原理与应用,计算机,厦门大学,4,2019-03-04,2019-06-09,3.0,14,立即参加,14690,608,林子雨助理教授
712,数值分析,理学,东北大学,4,2019-03-03,2019-07-07,5.0,19,立即参加,4448,193,邵新慧教授史大涛讲师冯男讲师盛莹讲师陈艳利讲师李铮讲师
713,比较文学,文学文化,华中师范大学,4,2019-03-21,2019-07-20,1.5,18,立即参加,3499,63,胡亚敏教授
714,中医与诊断—学做自己的医生,医药卫生,暨南大学,6,2019-02-25,2019-06-30,4.0,18,立即参加,42413,967,孙立教授薛飞飞副教授
715,护理学基础（上篇）,医药卫生,山东大学,9,2019-03-06,2019-05-31,5.0,13,立即参加,4903,55,王克芳教授  博士生导师邹凌燕副教授仝春兰副教授王翠丽博士 教授
716,机械设计基础,工学,西安交通大学,6,2019-02-15,2019-06-30,4.0,20,立即参加,9896,147,徐亮副教授，博士。
717,普通生态学,农林园艺,南京农林大学,4,2019-03-11,2019-07-15,3.0,19,立即参加,1099,36,胡锋教授刘满强教授郭辉副教授胡水金教授李辉信教授陈小云副教授徐莉副教授
718,宇宙新概念,理学,武汉大学,7,2019-01-22,2019-05-14,3.0,17,立即参加,25298,292,赵江南副教授
719,物流系统工程,管理学,武汉理工大学,7,2019-03-04,2019-06-12,3.0,15,立即参加,1048,62,张庆英教授辜勇副教授张莹副教授王正国副教授张梦雅实验师
720,人人学点营销学,管理学,中南财经政法大学,5,2019-03-11,2019-06-11,3.0,14,立即参加,2707,136,杜鹏副教授袁春平讲师谢志鹏讲师樊帅副教授
721,新生研讨课,教育教学,四川大学,7,2019-02-26,2019-06-30,2.5,18,立即参加,923,125,洪玫教授蒲亦非教授、博士生导师王湖南讲师舒莉讲师左航讲师聂靖讲师赵辉讲师刘晓洁教授
722,奇异的仿生学,理学,吉林大学,10,2019-03-25,2019-07-15,3.0,17,立即参加,649,130,刘燕教授/博导
723,视觉保健康复技术,医药卫生,金陵科技学院,6,2019-03-06,2019-05-15,4.0,11,立即参加,2058,62,刘宜群教授亓昊慧副教授欧阳永斌副教授王玲副教授许薇讲师季雷讲师
724,英语有效表达：语言、修辞与逻辑,外语,电子科技大学,4,2019-03-18,2019-05-17,1.5,9,立即参加,5530,50,廖敏副教授吕汀副教授田径副教授吴冰副教授
725,水工钢筋混凝土结构学,工学,河海大学,4,2019-03-04,2019-07-08,4.0,19,立即参加,1203,55,冷飞讲师汪基伟教授姚菲副教授蒋建华副教授
726,概率论与数理统计,理学,哈尔滨工业大学,8,2019-02-25,2019-05-27,4.0,14,立即参加,6411,109,方茹教授王勇教授李朝艳副教授周永春讲师文海玉副教授王力副教授刘伟副教授陈佳奇讲师
727,生命科学导论,理学,华中农业大学,4,2019-02-17,2019-05-31,4.0,15,立即参加,1951,316,"郑用琏教授 博导郑世学副教授李兴旺教授张敏教授 博导高友军讲师陈振夏教授,博导"
728,数学分析（四）,理学,华东师范大学,3,2019-04-22,2019-07-15,5.0,13,立即参加,10903,16,柴俊教授庞学诚教授吴畏教授王丽萍副教授戴浩晖讲师
729,Python科学计算三维可视化,计算机,北京理工大学,5,2019-03-19,2019-05-14,2.5,9,立即参加,4101,64,黄天羽副教授嵩天副教授
730,中医内科学,医药卫生,南京中医药大学,4,2019-03-21,2019-06-28,5.0,15,立即参加,3629,77,薛博瑜教授方南元讲师孙丽霞副教授金路助理研究员、主治中医师甘可讲师
731,西方文论原典导读,文学文化,吉林大学,4,2019-03-04,2019-06-30,5.0,17,立即参加,1022,6,窦可阳副教授
732,线性代数,理学,东南大学,4,2019-02-25,2019-06-16,2.0,16,立即参加,14463,51,陈建龙教授周建华教授张小向副教授
733,大学物理-相对论和量子物理,理学,山东大学,10,2019-04-23,2019-06-18,3.0,9,立即参加,2276,21,刘建强教授，基础物理教学研究中心主任
734,人体科学,理学,华东师范大学,10,2019-02-18,2019-06-17,4.0,18,立即参加,3982,55,袁崇刚教授马骥讲师
735,计算机组成原理（下）,计算机,哈尔滨工业大学,7,2019-02-25,2019-06-24,4.0,18,立即参加,5817,75,刘宏伟教授、博士生导师张丽杰教授舒燕君讲师张展副教授
736,广告创意学,文学文化,湖南大学,6,2019-03-05,2019-05-20,1.5,11,立即参加,9903,248,李正良湖南大学新闻传播与影视艺术学院教授，硕士生导师江绍雄蓝道广告公司创意总监，“艳遇中国”品牌首席设计师，多项国际广告大赛评审专家；荣获中国10大创意总监称号
737,汇编语言程序设计,计算机,电子科技大学,4,2019-03-04,2019-06-30,4.0,17,立即参加,3684,89,邢建川副教授廖建明教授崔金钟享受正高级待遇高级工程师韩宏正高级高级实验师
738,医学伦理学,医药卫生,西安交通大学,8,2019-03-12,2019-07-20,3.0,19,立即参加,952,12,魏琳西安交通大学人文学院副教授
739,聪慧的源泉——数学导读,理学,南昌大学,9,2019-03-07,2019-06-16,4.0,15,立即参加,1225,443,朱传喜教授、博士生导师黄先玖教授尹建东副教授吴照奇副教授屈泳讲师熊九红中级
740,行政管理学,管理学,中南财经政法大学,6,2019-02-24,2019-06-27,4.0,18,立即参加,2944,44,徐双敏教授
741,有机化学（上）,理学,大连理工大学,8,2019-03-01,2019-06-30,4.0,18,立即参加,4425,21,姜文凤教授，辽宁省教学名师，教育部大学化学教学指导委员会委员。于丽梅副教授高占先教授，国家教学名师。博士生导师。刘迪副教授，博士生导师。殷伦祥副教授
742,数字电子技术基础,工学,华中科技大学,5,2019-02-11,2019-06-25,4.0,20,立即参加,11033,83,罗杰副教授秦臻副教授张林教授左冬红副教授谭力讲师宋琪副教授杨彩虹讲师张江山副教授周波副教授钟国辉副教授鲁放讲师刘琼副教授程起敏副教授
743,核反应堆物理,工学,哈尔滨工程大学,4,2019-03-19,2019-05-26,6.0,10,立即参加,1001,6,曹欣荣教授赵强教授李伟讲师
744,管理学原理,管理学,武汉理工大学,6,2019-02-22,2019-05-28,2.5,14,立即参加,7254,126,罗玲教授程国平教授刁兆峰教授
745,大学物理——机械振动、波和波动光学,理学,西安交通大学,5,2018-10-16,2019-01-23,4.0,15,已结束，查看内容,8489,13,刘丹东副教授李宏荣教授刘萍副教授王瑞敏副教授方爱平副教授
746,线性代数与空间解析几何（一）,理学,电子科技大学,7,2019-03-11,2019-05-14,4.0,10,立即参加,2437,37,黄廷祝教授 / 博士生导师蒲和平教授何军华副教授王转德副教授房秀芬副教授荆燕飞研究员李厚彪教授王博副教授李红副教授原子霞副教授王颖副教授
747,高级语言程序设计（Python）,计算机,哈尔滨工业大学,2,2015-05-08,2015-08-07,4.0,14,已结束，查看内容,91695,29,车万翔教授、博士生导师袁永峰副教授叶麟讲师
748,知识产权法学,法学,武汉理工大学,5,2019-02-18,2019-05-18,3.0,13,立即参加,3484,32,刘介明教授胡神松副教授、硕士生导师孟奇勋副教授，硕导刘国龙副教授  硕导魏纪林教授、博士生导师
749,生理学,医药卫生,中南大学,5,2019-02-25,2019-07-01,2.5,19,立即参加,12062,233,罗自强生理学教授管茶香教授冯丹丹副教授暨明副教授向阳教授许建平副教授韩仰副教授文志斌教授
750,分析化学,理学,福州大学,5,2019-03-11,2019-07-14,4.0,18,立即参加,1109,12,林翠英副教授郭良洽教授王建副教授付凤富教授林陈晨讲师
751,新闻伦理与法规,文学文化,华中师范大学,4,2019-02-25,2019-07-01,3.0,19,立即参加,1900,204,江作苏教授陈科讲师张勇军教授甘丽华副教授李理副教授
752,循环经济与可持续发展型企业,工学,北京师范大学,5,2019-03-06,2019-07-10,2.0,19,立即参加,617,7,毛建素副教授（岗位教授），博士生导师金建君教授，博士生导师裴元生教授李春晖副教授，博士生导师，重点实验室副主任
753,大学美育,艺术设计,华南理工大学,3,2019-03-06,2019-05-15,3.0,11,立即参加,1600,170,苏宏元教授孙珉副教授周可讲师谢勇讲师陈映副教授
754,英美诗歌名篇选读,外语,北京联合大学,5,2019-04-08,2019-07-01,4.0,13,立即参加,1440,21,黄宗英Professor of English教授
755,金融学,经济学,中央财经大学 ,5,2018-09-17,2019-01-31,3.0,20,已结束，查看内容,323503,247,"李健教授左毓秀副教授黄昌利副教授蔡如海副教授李宪铎副教授,证券期货研究所秘书长,中国银行业研究中心秘书长,主要研究人员.贾玉革教授黄志刚副教授孙建华副教授马亚副教授方意副教授鄢莉莉讲师郭田勇中央财经大学金融学院教授、博士生导师董兵兵讲师李建军教授李建军教授"
756,心理健康与创新能力,心理学,电子科技大学,4,2018-10-25,2019-01-12,4.0,12,已结束，查看内容,6619,149,李媛博士   教授心理健康教育中心主任雷霖讲师刘荃职称：副教授；刁静讲师王海星讲师李谷静讲师刘红梅讲师
757,微生物学,理学,厦门大学,4,2018-08-27,2019-01-22,2.5,22,已结束，查看内容,9612,70,郭峰副教授张连茹教授田蕴教授袁晶教授
758,数字逻辑电路,工学,南京理工大学,4,2019-02-25,2019-06-30,3.0,18,立即参加,4016,20,王建新教授蒋立平教授班恬副教授姜萍副教授花汉兵副教授谭雪琴副教授
759,走进地理学,理学,南京大学,6,2019-01-01,2019-03-12,3.0,11,老师已关闭该学期，无法查看,17854,582,李满春教授，国家教学名师，长江学者特聘教授
760,钢结构,工学,河海大学,4,2019-03-15,2019-07-01,4.0,16,立即参加,1595,68,曹平周教授，博导伍凯副教授朱召泉教授伞冰冰副教授韦芳芳副教授
761,计算机网络基础及应用,计算机,南京理工大学,5,2019-02-18,2019-06-01,3.0,15,立即参加,5138,51,丁晟春教授陈芬副教授朱鹏副教授吴鹏教授沈思讲师王曰芬教授
762,物理与人类生活,理学,吉林大学,9,2019-03-04,2019-05-20,2.0,12,立即参加,1050,57,张汉壮教授（博导）
763,文化差异与跨文化交际,文学文化,郑州大学,6,2019-03-11,2019-05-31,3.0,12,立即参加,1927,57,曾利娟教授
764,无机与分析化学,理学,西安交通大学,5,2019-03-11,2019-06-07,4.0,13,立即参加,1014,8,和玲教授李银环副教授
765,管理心理学（下）,心理学,电子科技大学,4,2018-09-17,2018-11-12,2.5,9,已结束，查看内容,14311,57,祝小宁教授/博导
766,电机学,工学,哈尔滨工业大学,4,2019-03-04,2019-05-20,4.0,12,立即参加,7426,265,李勇教授/博导王骞副教授尚静教授
767,计算机操作系统,计算机,南京大学,6,2018-10-12,2019-02-01,5.0,17,已结束，查看内容,54167,75,骆斌教授、博导葛季栋副教授
768,大学物理—电磁学,理学,北京理工大学,8,2019-03-12,2019-06-10,4.0,13,立即参加,3900,78,胡海云教授吴晓丽副教授缪劲松副教授
769,学前儿童健康教育,教育教学,南京师范大学,5,2019-02-18,2019-06-17,3.0,18,立即参加,5477,146,顾荣芳教授张世义副教授叶慧高级教师方芳小学一级教师程雨洋实验师
770,大学物理—力学与热学,理学,北京理工大学,8,2019-02-25,2019-05-31,4.0,14,立即参加,19867,139,刘兆龙教授冯艳全副教授石宏霆副教授
771,植物学,理学,南京农林大学,4,2019-03-04,2019-06-10,4.0,15,立即参加,2243,201,强胜教授宋小玲教授王庆亚教授崔瑾教授陈世国副教授胡金良副教授李新华副教授，硕士生导师戴伟民副教授孙建云副教授张裕讲师张紫刚讲师刘琳莉中级实验师
772,毛泽东思想和中国特色社会主义理论体系概论,法学,武汉大学,6,2019-02-25,2019-07-20,2.5,21,立即参加,9339,1135,丁俊萍武汉大学马克思主义学院教授，博导，国家级教学名师，国家教育部社会科学委员会委员李向勇副教授陈训威实验中心主任，高工李华武汉大学马克思主义学院副教授李楠教授，博导吴向伟副教授杨军教授，博士生导师。邹金堂副教授范卫青武汉大学马克思主义学院副教授王双群副教授简繁讲师任艳讲师余永跃教授  博士生导师刘明松副教授曹亚雄教授，博士生导师付克新讲师
773,大学英语自学课程（下）,外语,北京科技大学,2,2018-02-01,2018-03-23,4.0,8,已结束，查看内容,24863,27,张敬源教授王娜副教授陈娟文副教授张丹丹讲师李金玉讲师何君萍高级讲师王深工程师沈艳娟讲师梁雅梦副教授刘荣君副教授
774,中级财务会计（三）,管理学,哈尔滨工业大学,4,2019-03-01,2019-06-30,5.0,18,立即参加,4788,42,高艳茹副教授、硕士研究生导师
775,文学经典导读,文学文化,华中师范大学,4,2019-02-25,2019-06-24,2.0,18,立即参加,9981,168,戴建业教授
776,波动光学,理学,华东师范大学,7,2019-03-11,2019-06-10,4.5,14,立即参加,887,10,管曙光教授刘金明研究员黄燕萍副教授李欣副教授
777,大学英语（口语）,外语,国防科技大学,7,2018-10-09,2019-01-18,2.0,15,已结束，查看内容,463430,258,刘源源国防语言系讲师；《大学英语口语》课程负责人彭天笑国防语言系讲师陈菁人文与社会科学学院语言文化研究所讲师李淼国防语言系讲师
778,急救常识,医药卫生,武汉大学,12,2019-03-01,2019-04-01,2.0,5,立即参加,14432,1103,赵剡教授、博士生导师陈志桥副主任医师金晓晴主治医师江城主治医师王建平副主任医师卢章洪主治医师
779,中国税制,经济学,中南财经政法大学,4,2019-03-15,2019-06-30,3.5,16,立即参加,3734,74,薛钢教授王宝顺副教授陈思霞副教授
780,创业法学,法学,江西财经大学,4,2019-03-13,2019-06-30,4.0,16,立即参加,4456,1921,邓辉教授张怡超讲师喻玲教授熊玉梅副教授杨德敏教授熊云辉讲师李忠民副教授刘先良讲师
781,化工原理（下）,工学,北京化工大学,4,2019-02-23,2019-07-06,4.0,20,立即参加,1439,31,丁忠伟教授刘丽英副教授
782,中国税制,经济学,江西财经大学,5,2019-03-25,2019-05-31,4.0,10,立即参加,3886,272,王乔教授（二级）姚林香教授徐建斌副教授伍红教授万莹教授邱慈孙副教授伍云峰副教授黄思明讲师陈荣教授李春根教授张仲芳教授黄桂香教授朱门添教授席卫群教授王雯讲师
783,中国古典家具,艺术设计,福建农林大学,5,2019-03-15,2019-05-24,3.0,11,立即参加,3567,466,刘学莘讲师林金国教授董晓英讲师赵中元讲师牛敏讲师
784,微波技术基础,工学,厦门大学,6,2019-02-21,2019-05-30,4.0,15,立即参加,1525,17,游佰强教授，廈門大學教學名師，IEEE高級會員，中國電子學會高級會員周建华教授李伟文副教授李杰工程师
785,科举与唐诗,文学文化,郑州大学,6,2019-03-05,2019-06-11,3.0,15,立即参加,976,101,王士祥教授
786,偏微分方程,理学,厦门大学,5,2019-02-25,2019-06-15,4.0,16,立即参加,2108,33,谭忠教授、博士生导师
787,创业投资,管理学,厦门大学,4,2019-02-17,2019-05-19,6.5,14,立即参加,10971,438,唐炎钊教授
788,从大学生到经理人的36项修炼,经济学,西南交通大学,8,2019-03-20,2019-07-31,3.0,20,立即参加,4507,256,李泽尧教授
789,理解马克思,哲学,南京大学,7,2019-03-04,2019-06-30,3.0,17,立即参加,54784,168,张亮教授，博士生导师。周嘉昕南京大学哲学系教授孙乐强南京大学哲学系副教授
790,微电子工艺,工学,哈尔滨工业大学,8,2019-03-04,2019-06-17,4.0,16,立即参加,885,40,王蔚教授级高工田丽副教授
791,天文探秘,理学,南京大学,6,2019-03-25,2019-07-31,2.5,19,立即参加,2634,187,李向东教授谢懿副教授陈鹏飞教授施勇教授周济林教授
792,企业战略管理,管理学,四川大学,4,2019-03-04,2019-05-27,3.0,13,立即参加,2147,41,揭筱纹教授
793,高等数学—微积分(1),理学,山东大学,5,2018-09-18,2019-01-08,4.0,17,已结束，查看内容,34894,83,"蒋晓芸教授,博导张天德教授  著名考研辅导专家王洪英副教授王玮副教授孙同军教授包芳勋教授金辉讲师刘蕴贤教授马树萍教授朱冬梅副教授高夫征副教授颜谨教授陈建良副教授崔明荣教授苏海军副教授杜世田副教授吴强副教授"
794,学习工程与管理,教育教学,北京大学,1,2018-05-25,2018-07-30,3.0,10,已结束，查看内容,17045,64,吴峰教授
795,西方现代艺术赏析,艺术设计,吉林大学,4,2019-03-20,2019-06-19,2.0,14,立即参加,2900,62,铁娆娆艺术学院 公共艺术教育中心 讲师
796,创业基础,管理学,中南财经政法大学,6,2019-02-28,2019-06-25,1.5,17,立即参加,3698,1663,邓汉慧教授李波教授喻良涛讲师黄宏伟讲师
797,中国少数民族神话赏析,文学文化,中央民族大学,3,2019-03-09,2019-06-01,5.0,13,立即参加,2107,119,汪立珍教授
798,数据结构,计算机,中国人民解放军陆军工程大学,5,2019-03-08,2019-06-17,3.0,15,立即参加,3705,45,陈卫卫教授李清副教授唐艳琴副教授李志刚讲师吴永芬讲师李杰讲师王坤讲师
799,内部控制与风险管理,管理学,中南财经政法大学,5,2018-09-10,2019-01-06,4.0,17,已结束，查看内容,10215,125,王清刚教授/博士生导师龚翔副教授董丽华副研究员吕敏康副教授冉明东副教授陈丽红教授丁琳副教授  硕士生导师彭艳讲师
800,婚恋-职场-人格,心理学,武汉理工大学,4,2019-04-01,2019-06-20,3.0,12,立即参加,3665,427,张晓文讲师雷五明教授
801,工程图学（二）,工学,吉林大学,4,2019-03-04,2019-06-25,4.0,17,立即参加,723,2,谷艳华教授
802,3D打印技术及应用,工学,西北工业大学,5,2019-03-05,2019-06-20,3.5,16,立即参加,2691,66,汪焰恩教授，博士生导师王淑侠工大侠客苟秉宸副教授
803,医用物理学,医药卫生,郑州大学,4,2019-03-05,2019-07-04,3.5,18,立即参加,1415,2,潘志峰教授
804,eye我所爱——呵护你的眼,医药卫生,四川大学,4,2019-03-29,2019-06-30,1.0,14,立即参加,1866,64,刘陇黔教授马薇主管视光师杨旭波讲师杨国渊讲师
805,数据结构与算法,计算机,北京大学,2,2018-09-17,2019-01-13,6.0,17,已结束，查看内容,35283,71,张铭教授赵海燕副教授宋国杰副教授黄骏讲师邹磊教授陈斌副教授王腾蛟教授
806,工程信号与系统,工学,西安电子科技大学,7,2019-02-25,2019-07-16,2.0,21,立即参加,978,13,郭宝龙教授朱娟娟副教授
807,速成汉语语法课堂,文学文化,北京语言大学,3,2019-03-06,2019-06-21,3.5,16,立即参加,1543,25,种一凡讲师张倩讲师蔡楠讲师蔡建永讲师
808,中国古典诗文朗诵与吟诵,文学文化,江苏师范大学,5,2019-03-04,2019-07-07,1.5,18,立即参加,3533,766,李昌集教授
809,匠心与创新——家具行业创新创业,工学,福建农林大学,4,2019-03-15,2019-05-24,2.5,11,立即参加,2514,742,林金国教授刘学莘讲师胡涛讲师牛敏讲师吴旭平讲师张龙有天健达红木总经理陈开焱九牧厨卫开发部经理范文彬金牌厨柜工业设计部经理
810,会计学原理,管理学,江西财经大学,4,2019-03-01,2019-06-24,4.0,17,立即参加,6666,218,程淑珍教授张蕊教授周冬华副教授吕晓梅副教授吴志斌讲师管考磊副教授郭华平教授蒋珩副教授
811,C语言程序设计（下）,计算机,北京理工大学,9,2019-03-18,2019-07-31,2.5,20,立即参加,10743,81,李凤霞教授薛庆副教授陈宇峰副教授余月讲师李仲君助理研究员赵三元讲师
812,中国行政法原理及应用,法学,南京大学,6,2019-03-04,2019-06-30,2.5,17,立即参加,13300,78,肖泽晟教授、博士生导师。
813,药物化学,医药卫生,中国药科大学,6,2019-02-25,2019-07-05,2.0,19,立即参加,4784,144,尤启冬教授江程副教授徐云根教授李玉艳副教授
814,高速铁路桥梁与隧道工程,工学,西南交通大学,4,2019-03-18,2019-06-11,2.0,13,立即参加,680,19,王英学教授周佳媚教授申玉生副教授李小珍教授
